,title,heading,Description,token
40,TOSTITOS,Tostitos Tortilla Chips Multigrain Scoops 10 Oz,"The predicted units for TOSTITOS is 5.25686760926672 and actual unit is 10.5, The net gap is 0The average unit revenue for TOSTITOS is 2.94The flavour code for TOSTITOS is 767 with size XXLThe flavour description is MULTGRAIN SCPS and item description is Tostitos Tortilla Chips Multigrain Scoops 10 Oz for TOSTITOS",92
41,HISPANIC,Sabritones Puffed Wheat Snacks Chile & Lime Flavored 4 Oz,"The predicted units for HISPANIC is 13.4257728472983 and actual unit is 48, The net gap is 0The average unit revenue for HISPANIC is 1.7The flavour code for HISPANIC is 130 with size 2VALUE LINEThe flavour description is SABRITONES and item description is Sabritones Puffed Wheat Snacks Chile & Lime Flavored 4 Oz for HISPANIC",89
42,LAYS,Lay's Potato Chips Chile Limon Flavored 7 3/4 Oz,"The predicted units for LAYS is 14.2720182025962 and actual unit is 54, The net gap is 0The average unit revenue for LAYS is 2.37The flavour code for LAYS is 797 with size XLThe flavour description is CHLMON/CHILI LIM and item description is Lay's Potato Chips Chile Limon Flavored 7 3/4 Oz for LAYS",86
43,FUNYUNS,Funyuns Onion Flavored Rings Flamin' Hot Flavored 6 Oz,"The predicted units for FUNYUNS is 11.834079358047 and actual unit is 66, The net gap is 0The average unit revenue for FUNYUNS is 3.65The flavour code for FUNYUNS is 548 with size XLThe flavour description is FLAMING HOT/FIERY and item description is Funyuns Onion Flavored Rings Flamin' Hot Flavored 6 Oz for FUNYUNS",90
44,CHEETOS POPCORN,Cheetos Popcorn Flavored Popcorn Flamin' Hot Flavored 6 1/2 Oz,"The predicted units for CHEETOS POPCORN is 9.45410217413147 and actual unit is 54, The net gap is 0The average unit revenue for CHEETOS POPCORN is 2.98The flavour code for CHEETOS POPCORN is 71 with size XLThe flavour description is HOT/ HOT WINGS/ CHO CHP and item description is Cheetos Popcorn Flavored Popcorn Flamin' Hot Flavored 6 1/2 Oz for CHEETOS POPCORN",107
45,LAYS,Lay's Potato Chips Limon Flavored 12 1/2 Oz,"The predicted units for LAYS is 9.86402486705502 and actual unit is 28, The net gap is 0The average unit revenue for LAYS is 3.69The flavour code for LAYS is 82 with size PARTY SIZEThe flavour description is LIMON/PNT BTR CHS/VAN CRM and item description is Lay's Potato Chips Limon Flavored 12 1/2 Oz for LAYS",94
46,SINGLE SERVE FLEX,Doritos Dinamita Rolled Tortilla Chips Chile Limon Flavored 4 Oz,"The predicted units for SINGLE SERVE FLEX is 7.12665717272695 and actual unit is 42, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.45The flavour code for SINGLE SERVE FLEX is 730 with size XXVLThe flavour description is CHILE LIMON/WHITE CORN and item description is Doritos Dinamita Rolled Tortilla Chips Chile Limon Flavored 4 Oz for SINGLE SERVE FLEX",113
47,KETTLE,Lay's Kettle Cooked Potato Chips Mesquite BBQ Flavored 8 Oz,"The predicted units for KETTLE is 5.44243306463159 and actual unit is 0, The net gap is 5.44243306463159The average unit revenue for KETTLE is 2.87The flavour code for KETTLE is 118 with size XLThe flavour description is KTLBBQ and item description is Lay's Kettle Cooked Potato Chips Mesquite BBQ Flavored 8 Oz for KETTLE",93
48,FRITOS,Fritos Flavored Corn Chips Chili Cheese 9.25 Oz,"The predicted units for FRITOS is 20.0415514323686 and actual unit is 65, The net gap is 0The average unit revenue for FRITOS is 3.66The flavour code for FRITOS is 7 with size XLThe flavour description is CHILI CHEESE and item description is Fritos Flavored Corn Chips Chili Cheese 9.25 Oz for FRITOS",81
49,FRITOS,Fritos Flavored Corn Chips Flamin' Hot 9 1/4 Oz,"The predicted units for FRITOS is 58.0429230328444 and actual unit is 40, The net gap is 18.0429230328444The average unit revenue for FRITOS is 2.99The flavour code for FRITOS is 71 with size XLThe flavour description is HOT/ HOT WINGS/ CHO CHP and item description is Fritos Flavored Corn Chips Flamin' Hot 9 1/4 Oz for FRITOS",93
50,CRUNCHY CHEETOS,Cheetos Crunchy Cheese Flavored Snacks 8 1/2 Oz,"The predicted units for CRUNCHY CHEETOS is 43.273354189459 and actual unit is 94.5, The net gap is 0The average unit revenue for CRUNCHY CHEETOS is 3.63The flavour code for CRUNCHY CHEETOS is 31 with size XLThe flavour description is CHS/MED CONQUES and item description is Cheetos Crunchy Cheese Flavored Snacks 8 1/2 Oz for CRUNCHY CHEETOS",102
51,CRUNCHY CHEETOS,Cheetos Crunchy Cheese Flavored Snacks 8 1/2 Oz,"The predicted units for CRUNCHY CHEETOS is 31.486876860959 and actual unit is 39.5, The net gap is 0The average unit revenue for CRUNCHY CHEETOS is 3.63The flavour code for CRUNCHY CHEETOS is 31 with size XLThe flavour description is CHS/MED CONQUES and item description is Cheetos Crunchy Cheese Flavored Snacks 8 1/2 Oz for CRUNCHY CHEETOS",102
52,CRUNCHY CHEETOS,Cheetos Crunchy Cheese Flavored Snacks Cheddar Jalapeno Flavored 8 1/2 Oz,"The predicted units for CRUNCHY CHEETOS is 16.7520300579658 and actual unit is 60, The net gap is 0The average unit revenue for CRUNCHY CHEETOS is 2.96The flavour code for CRUNCHY CHEETOS is 67 with size XLThe flavour description is CHEDDAR/POPPIN JALAPENO and item description is Cheetos Crunchy Cheese Flavored Snacks Cheddar Jalapeno Flavored 8 1/2 Oz for CRUNCHY CHEETOS",113
53,PUFF CHEETOS,Cheetos Puffs Cheese Flavored Snacks Flamin' Hot Flavored 8 Oz,"The predicted units for PUFF CHEETOS is 27.5417323546925 and actual unit is 30, The net gap is 0The average unit revenue for PUFF CHEETOS is 3.6The flavour code for PUFF CHEETOS is 71 with size XLThe flavour description is HOT/ HOT WINGS/ CHO CHP and item description is Cheetos Puffs Cheese Flavored Snacks Flamin' Hot Flavored 8 Oz for PUFF CHEETOS",102
54,LAYS,Lay's Poppables Potato Snacks Sea Salt 5 Oz,"The predicted units for LAYS is 5.23131071508304 and actual unit is 18, The net gap is 0The average unit revenue for LAYS is 2.38The flavour code for LAYS is 798 with size XLThe flavour description is SEA SLT and item description is Lay's Poppables Potato Snacks Sea Salt 5 Oz for LAYS",79
55,SUNCHIPS,SunChips Whole Grain Snacks Original 7 Oz,"The predicted units for SUNCHIPS is 6.78762496245707 and actual unit is 12, The net gap is 0The average unit revenue for SUNCHIPS is 2.87The flavour code for SUNCHIPS is 11 with size XLThe flavour description is REG and item description is SunChips Whole Grain Snacks Original 7 Oz for SUNCHIPS",74
56,BAKED LAYS,Lay's Baked Potato Crisps Original 6 1/4 Oz,"The predicted units for BAKED LAYS is 7.05790938585734 and actual unit is 8, The net gap is 0The average unit revenue for BAKED LAYS is 2.85The flavour code for BAKED LAYS is 34 with size XLThe flavour description is BK LB REG/ CHD CHS GLD TS and item description is Lay's Baked Potato Crisps Original 6 1/4 Oz for BAKED LAYS",101
57,LAYS,Lay's Potato Chips Barbecue Flavored 7 3/4 Oz,"The predicted units for LAYS is 52.3912851242478 and actual unit is 113.5, The net gap is 0The average unit revenue for LAYS is 3.18The flavour code for LAYS is 9 with size XLThe flavour description is JUMBO PUFFS/BBQ/ALMN and item description is Lay's Potato Chips Barbecue Flavored 7 3/4 Oz for LAYS",90
58,LAYS,Lay's Potato Chips Dill Pickle 7 3/4 Oz,"The predicted units for LAYS is 5.4906057274287 and actual unit is 6, The net gap is 0The average unit revenue for LAYS is 3.24The flavour code for LAYS is 631 with size XLThe flavour description is DILL PICKLE and item description is Lay's Potato Chips Dill Pickle 7 3/4 Oz for LAYS",80
59,LAYS,Lay's Potato Chips Flamin' Hot Flavored 7 3/4 Oz,"The predicted units for LAYS is 9.86399138796923 and actual unit is 52.5, The net gap is 0The average unit revenue for LAYS is 2.4The flavour code for LAYS is 71 with size XLThe flavour description is HOT/ HOT WINGS/ CHO CHP and item description is Lay's Potato Chips Flamin' Hot Flavored 7 3/4 Oz for LAYS",89
